"","Position","Unknown","Views","Clicks"
"199","2","1008",2,1
"200","0","1005",29219,155
"201","1","1005",14755,85
"202","0","1002",4281,274
"203","2","1005",28,2
"204","2","1008",10,1
"205","0","1012",10,0
"206","1","1012",3,0
"207","0","1010",3,1
"208","0","1001",9,0
"209","0","1005",41097,199
"210","1","1005",21738,83
"211","0","1002",4178,360
"212","2","1005",58,2
"213","0","1001",8,0
"214","2","1008",8,1
"215","0","1012",8,0
"216","1","1012",2,0
"217","1","1005",24064,92
"218","0","1005",37972,247
"219","0","1002",5692,302
"220","2","1005",53,1
"221","0","1012",7,0
"222","1","1012",1,0
"223","2","1008",1,0
"224","1","1005",34040,99
"225","0","1005",48099,267
"226","0","1002",5668,342
"227","2","1005",91,2
"228","2","1008",11,1
"229","0","1012",11,0
"230","0","1001",1,0
"231","1","1012",3,0
"232","2","1012",1,0
"233","0","1005",77524,331
"234","1","1005",46819,118
"235","0","1002",11132,571
"236","2","1012",14,0
"237","2","1008",81,1
"238","2","1005",132,2
"239","0","1001",14,0
"240","0","1012",18,0
"241","1","1012",3,0
"242","1","1005",57659,112
"243","0","1005",111653,357
"244","0","1002",15696,692
"245","1","1012",165,1
"246","2","1008",296,1
"247","2","1005",191,2
"248","2","1012",5,0
"249","0","1012",13,0
"250","0","1001",9,1
"251","0","1005",106255,372
"252","0","1002",13267,717
"253","1","1005",56745,113
"254","1","1012",298,1
"255","2","1008",86,1
"256","2","1005",155,2
"257","0","1001",7,0
"258","0","1012",11,0
"259","1","1005",48704,96
"260","0","1002",14679,754
"261","0","1005",85492,342
"262","1","1012",519,1
"263","2","1008",113,1
"264","2","1005",123,2
"265","0","1012",12,1
"266","0","1001",3,0
"267","0","1005",112429,388
"268","1","1005",60745,94
"269","0","1002",14232,710
"270","2","1005",197,2
"271","1","1012",541,1
"272","2","1008",138,1
"273","0","1001",9,0
"274","0","1012",14,0
"275","2","1012",1,1
"276","0","1005",129173,372
"277","0","1002",13176,691
"278","1","1005",76795,99
"279","1","1012",155,1
"280","2","1008",37,1
"281","2","1005",165,3
"282","0","1001",29,0
"283","0","1012",20,1
"284","2","1012",1,0
"285","0","1010",1,0
"286","1","1005",83818,112
"287","0","1005",139823,402
"288","0","1002",14036,729
"289","2","1005",104,2
"290","0","1012",25,0
"291","2","1008",28,2
"292","1","1012",7,0
"293","0","1001",19,1
"294","0","1005",2,0
"295","2","1012",2,0
"296","1","1005",74387,113
"297","0","1005",129968,378
"298","0","1002",11604,501
"299","0","1012",14,1
"300","2","1005",127,3
"301","2","1008",5,0
"302","0","1010",1,0
"303","2","1012",2,0
"304","0","1001",2,0
"305","1","1005",75273,111
"306","0","1005",138710,365
"307","0","1002",11338,534
"308","2","1005",142,3
"309","0","1012",72,3
"310","0","1001",7,0
"311","2","1008",4,1
"312","2","1012",4,0
"313","0","1005",112077,347
"314","1","1005",51291,99
"315","0","1002",9901,574
"316","2","1005",115,2
"317","0","1012",67,2
"318","2","1008",3,0
"319","2","1012",3,0
"320","0","1001",2,0
"321","0","1005",73239,322
"322","1","1005",44543,87
"323","0","1002",8625,540
"324","2","1005",131,2
"325","0","1012",52,2
"326","2","1008",2,0
"327","0","1010",5,0
"328","0","1001",4,0
"329","2","1012",2,0
"330","1","1005",47705,99
"331","0","1005",72582,313
"332","0","1002",7544,554
"333","2","1005",129,2
"334","0","1012",67,2
"335","2","1008",4,1
"336","0","1010",2,0
"337","0","1001",4,0
"338","2","1012",1,0
"339","1","1005",56148,82
"340","0","1005",67847,357
"341","0","1002",7608,579
"342","2","1005",110,2
"343","0","1012",59,1
"344","2","1012",2,0
"345","0","1010",2,0
"346","2","1008",2,0
"347","0","1001",1,1
"348","0","1005",69240,348
"349","1","1005",66441,83
"350","0","1002",10460,663
"351","0","1010",4,0
"352","2","1005",126,2
"353","0","1012",45,1
"354","0","1005",1,0
"355","0","1005",71157,329
"356","1","1005",61996,89
"357","0","1002",10239,604
"358","2","1005",119,3
"359","0","1012",30,1
"360","0","1001",15,1
"361","2","1008",6,1
"362","0","1010",4,1
"363","2","1012",1,0
"364","0","1005",56114,282
"365","1","1005",47407,79
"366","0","1002",10495,549
"367","0","1012",43,2
"368","2","1008",32,2
"369","0","1001",22,0
"370","2","1005",53,2
"371","0","1010",2,0
"372","2","1012",1,1
"373","0","1002",8283,431
"374","1","1005",35668,74
"375","0","1005",45159,226
"376","0","1012",56,2
"377","2","1005",61,4
"378","2","1008",30,1
"379","0","1001",5,0
"380","0","1010",4,1
"381","0","1002",6327,344
"382","1","1005",33189,70
"383","0","1005",36345,208
"384","2","1008",29,1
"385","0","1012",40,2
"386","2","1005",38,1
"387","0","1001",6,0
"388","0","1005",2,0
"389","0","1010",2,1
"390","1","1005",26478,66
"391","0","1002",5667,289
"392","0","1005",36532,176
"393","2","1008",35,1
"394","0","1001",17,1
"395","0","1012",59,3
"396","2","1005",28,2
"397","0","1010",2,0
"398","2","1012",1,0
"399","1","1005",23637,69
"400","0","1005",32996,191
"401","0","1002",4162,278
"402","0","1010",4,0
"403","2","1008",27,1
"404","2","1005",33,1
"405","0","1001",11,0
"406","0","1012",38,3
"407","0","1005",35298,186
"408","1","1005",22960,64
"409","0","1002",4460,324
"410","0","1012",174,4
"411","0","1001",16,0
"412","2","1005",88,1
"413","2","1008",26,1
"414","2","1012",2,1
"415","1","1005",28350,69
"416","0","1002",5477,457
"417","0","1005",40724,223
"418","2","1008",17,1
"419","2","1005",97,2
"420","0","1012",127,3
"421","0","1001",19,1
"422","2","1012",3,0
"423","0","1010",1,0
"424","1","1005",39407,94
"425","0","1005",48251,251
"426","0","1002",10224,444
"427","0","1012",174,3
"428","2","1005",64,2
"429","2","1008",36,1
"430","2","1012",3,0
"431","0","1010",3,0
"432","0","1001",4,0
"433","1","1005",65251,97
"434","0","1005",53664,298
"435","0","1002",6868,478
"436","2","1005",61,2
"437","0","1012",152,2
"438","2","1008",41,1
"439","0","1010",3,1
"440","0","1001",5,0
"441","2","1012",3,0
"442","1","1005",80793,101
"443","0","1005",89466,381
"444","0","1002",10614,657
"445","2","1005",129,2
"446","0","1012",151,3
"447","2","1008",56,1
"448","0","1001",20,1
"449","0","1010",2,0
"450","2","1012",5,0
"451","0","1005",83950,343
"452","1","1005",62808,108
"453","0","1002",10359,637
"454","0","1012",115,3
"455","2","1005",184,3
"456","2","1008",32,1
"457","0","1001",6,0
"458","2","1012",1,0
"459","1","1005",44666,96
"460","0","1005",51111,286
"461","0","1002",11427,667
"462","0","1012",168,3
"463","2","1005",98,2
"464","2","1008",21,1
"465","2","1012",2,0
"466","0","1001",1,0
"467","1","1012",1,0
"468","1","1005",56739,109
"469","0","1005",63671,300
"470","0","1002",8450,502
"471","0","1012",141,3
"472","2","1005",160,3
"473","2","1008",20,1
"474","0","1001",4,0
"475","2","1012",2,0
"476","0","1005",75401,311
"477","1","1005",73776,116
"478","0","1002",12280,747
"479","0","1012",102,2
"480","2","1005",133,2
"481","0","1001",11,1
"482","2","1008",20,1
"483","2","1012",3,0
"484","0","1005",70155,332
"485","1","1005",65894,100
"486","0","1002",13170,767
"487","2","1008",42,1
"488","0","1012",115,1
"489","2","1005",103,2
"490","0","1001",19,0
"491","0","1005",52064,286
"492","1","1005",61367,93
"493","0","1002",11496,733
"494","2","1005",108,2
"495","0","1012",121,3
"496","2","1008",32,1
"497","0","1001",7,0
"498","1","1005",46831,85
"499","0","1005",63492,281
"500","0","1002",10123,694
"501","2","1005",104,2
"502","0","1012",105,2
"503","0","1001",23,1
"504","2","1008",25,1
"505","2","1012",1,0
"506","0","1002",11407,755
"507","0","1005",64944,279
"508","1","1005",31254,79
"509","2","1008",29,1
"510","2","1005",65,1
"511","0","1012",100,2
"512","0","1001",17,0
"513","2","1012",3,0
"514","0","1005",59793,296
"515","1","1005",29995,80
"516","0","1002",9123,604
"517","1","1012",172,1
"518","2","1005",63,3
"519","0","1001",19,1
"520","0","1012",154,5
"521","2","1008",28,1
"522","2","1012",1,0
"523","0","1010",1,0
"524","1","1005",26209,84
"525","0","1005",66474,286
"526","0","1002",11237,686
"527","1","1012",55,0
"528","2","1005",74,2
"529","0","1001",22,1
"530","0","1012",175,5
"531","2","1008",22,1
"532","1","1005",36292,87
"533","0","1005",82804,316
"534","0","1012",141,5
"535","0","1002",12071,741
"536","2","1005",122,2
"537","1","1012",149,0
"538","2","1008",17,1
"539","2","1012",5,0
"540","0","1001",12,0
"541","0","1010",2,0
"542","0","1002",11342,717
"543","0","1005",83073,319
"544","1","1005",34913,87
"545","1","1012",35,0
"546","0","1012",184,4
"547","0","1001",14,1
"548","2","1005",128,3
"549","2","1008",17,1
"550","0","1010",4,1
"551","2","1012",1,0
"552","1","1005",42157,74
"553","0","1005",75895,294
"554","0","1002",9168,616
"555","0","1012",147,3
"556","2","1005",109,1
"557","2","1008",19,1
"558","0","1001",9,0
"559","0","1010",2,0
"560","1","1012",1,0
"561","0","1005",73171,292
"562","1","1005",41533,81
"563","0","1002",9248,585
"564","2","1005",87,2
"565","0","1012",88,5
"566","2","1008",21,1
"567","2","1012",1,0
"568","1","1012",3,1
"569","0","1001",11,0
"570","0","1005",54456,263
"571","1","1005",27987,70
"572","0","1002",6889,454
"573","2","1005",66,2
"574","0","1012",53,4
"575","2","1008",21,1
"576","0","1001",5,0
"577","0","1010",1,0
"578","0","1005",9,0
"579","1","1012",6,1
"580","0","1005",39754,248
"581","1","1005",26362,75
"582","0","1002",6063,382
"583","0","1012",58,2
"584","2","1005",62,2
"585","2","1008",18,1
"586","0","1005",3,0
"587","1","1012",3,1
"588","0","1010",1,0
"589","0","1001",1,0
"590","1","1005",22283,62
"591","0","1005",36865,239
"592","0","1002",4029,300
"593","2","1008",31,1
"594","2","1005",40,2
"595","0","1012",35,2
"596","0","1010",1,0
"597","0","1001",8,0
"598","1","1012",2,0
"599","0","1005",1,0
"600","0","1005",38910,195
"601","0","1002",4223,292
"602","1","1005",19355,61
"603","0","1001",11,1
"604","2","1005",34,2
"605","0","1012",57,1
"606","2","1012",1,0
"607","1","1012",5,1
"608","2","1008",5,0
"609","0","1010",1,1
"610","0","1005",39687,172
"611","1","1005",17088,55
"612","0","1002",3455,260
"613","0","1012",76,2
"614","1","1012",3,1
"615","2","1005",24,2
"616","2","1008",5,0
"617","0","1001",2,0
"618","0","1010",1,0
"619","0","1005",40853,182
"620","0","1002",2799,221
"621","1","1005",14079,65
"622","0","1012",53,3
"623","2","1005",47,1
"624","1","1012",4,1
"625","0","1001",7,0
"626","2","1008",3,0
"627","0","1010",2,0
"628","0","1005",42554,207
"629","0","1002",4146,358
"630","1","1005",20494,72
"631","2","1005",73,2
"632","0","1012",68,4
"633","0","1001",3,0
"634","0","1010",5,1
"635","1","1012",3,1
"636","2","1012",1,0
"637","0","1005",47654,232
"638","1","1005",34605,85
"639","0","1002",5631,332
"640","0","1012",106,3
"641","2","1005",79,2
"642","0","1001",2,1
"643","1","1012",4,1
"644","0","1010",3,0
"645","2","1008",2,0
"646","0","1005",52036,259
"647","1","1005",34715,79
"648","0","1002",5046,348
"649","1","1012",6,1
"650","0","1012",124,4
"651","2","1005",76,2
"652","0","1001",1,0
"653","2","1008",3,0
"654","0","1010",1,0
"655","0","1002",5459,334
"656","0","1005",59074,271
"657","1","1005",34976,96
"658","0","1012",97,3
"659","2","1005",74,2
"660","1","1012",5,1
"661","0","1001",8,0
"662","2","1008",4,1
"663","0","1010",2,1
"664","2","1012",1,0
"665","1","1005",37635,105
"666","0","1005",60407,283
"667","0","1002",6283,335
"668","2","1005",125,2
"669","0","1012",111,3
"670","0","1001",7,0
"671","2","1008",4,1
"672","2","1012",1,0
"673","1","1012",4,1
"674","1","1005",41493,107
"675","0","1005",70418,285
"676","0","1002",6764,384
"677","0","1012",84,3
"678","2","1005",99,2
"679","2","1008",6,0
"680","1","1012",5,1
"681","2","1012",2,0
"682","0","1001",2,0
"683","0","1005",85186,291
"684","1","1005",39549,104
"685","2","1005",113,3
"686","0","1002",5992,365
"687","0","1012",106,2
"688","2","1008",3,0
"689","1","1012",4,1
"690","0","1001",5,2
"691","0","1005",77196,304
"692","1","1005",40984,104
"693","2","1005",133,2
"694","0","1002",5750,354
"695","0","1012",110,3
"696","1","1012",8,1
"697","0","1001",7,0
"698","2","1012",1,0
"699","0","1005",65240,298
"700","1","1005",38506,102
"701","0","1002",6220,339
"702","0","1012",104,2
"703","2","1005",102,2
"704","0","1001",11,2
"705","2","1012",3,0
"706","2","1008",2,0
"707","1","1012",1,1
"708","0","1005",52189,262
"709","1","1005",36968,97
"710","0","1002",6565,374
"711","2","1005",98,2
"712","1","1012",7,1
"713","0","1001",31,0
"714","0","1012",101,3
"715","2","1012",6,0
"716","2","1008",1,0
"717","0","1005",43823,252
"718","1","1005",29861,88
"719","2","1005",57,2
"720","0","1002",7728,388
"721","0","1012",658,3
"722","2","1012",35,3
"723","1","1012",6,1
"724","0","1001",22,0
"725","2","1008",7,0
"726","0","1010",1,0
"727","1","1005",49772,87
"728","0","1005",68019,269
"729","0","1002",5901,363
"730","2","1005",108,2
"731","0","1012",89,2
"732","0","1001",15,0
"733","1","1012",6,1
"734","0","1005",1,0
"735","0","1010",2,1
"736","1","1005",44254,91
"737","0","1005",73544,267
"738","0","1002",9071,580
"739","0","1012",74,3
"740","0","1001",14,0
"741","2","1005",148,2
"742","2","1012",3,1
"743","1","1012",5,1
"744","1","1005",52171,99
"745","0","1005",85476,285
"746","0","1002",7813,470
"747","2","1005",111,2
"748","0","1001",8,1
"749","0","1012",121,3
"750","1","1012",13,1
"751","2","1012",4,0
"752","0","1010",1,0
"753","0","1005",80658,324
"754","1","1005",56772,94
"755","0","1002",6721,431
"756","2","1005",108,3
"757","0","1012",68,3
"758","2","1008",2,0
"759","1","1012",5,1
"760","2","1012",2,0
"761","0","1005",1,0
"762","0","1005",93957,312
"763","1","1005",74501,116
"764","2","1005",158,3
"765","0","1002",6300,399
"766","0","1012",59,3
"767","2","1008",3,0
"768","0","1010",1,0
"769","0","1001",3,0
"770","1","1005",79626,111
"771","0","1005",95927,298
"772","0","1002",8772,479
"773","2","1005",140,4
"774","0","1012",120,3
"775","0","1001",6,0
"776","2","1008",1,0
"777","0","1010",4,0
"778","0","1005",62826,261
"779","1","1005",43483,88
"780","0","1002",10332,536
"781","2","1005",76,2
"782","0","1012",49,1
"783","0","1001",16,0
"784","2","1008",3,0
"785","0","1010",1,0
"786","2","1012",2,1
"787","0","1002",8536,541
"788","1","1005",3503,32
"789","0","1005",10105,37
"790","0","1001",11,1
"791","0","1012",29,1
"792","1","1012",6,0
"793","2","1005",14,1
"794","2","1008",3,0
"795","0","1010",3,0
"796","2","1012",1,0
"797","0","1005",5995,38
"798","0","1002",6231,393
"799","1","1005",2450,28
"800","2","1005",5,0
"801","1","1012",93,1
"802","0","1012",42,3
"803","0","1001",29,1
"804","2","1008",2,0
"805","0","1010",1,0
"806","0","1002",5648,352
"807","0","1005",5300,29
"808","1","1005",2117,22
"809","2","1008",6,0
"810","0","1001",44,1
"811","0","1012",9,1
"812","2","1005",4,0
"813","0","1005",3182,18
"814","0","1002",4501,314
"815","1","1005",1244,20
"816","2","1005",5,0
"817","0","1012",13,0
"818","0","1010",2,1
"819","0","1001",34,1
"820","2","1008",5,0
"821","2","1012",1,0
"822","1","1005",2540,20
"823","0","1005",8388,60
"824","0","1002",3865,293
"825","0","1001",28,0
"826","0","1012",17,0
"827","0","1010",3,1
"828","2","1008",4,0
"829","2","1005",3,0
"830","2","1012",2,0
"831","0","1005",35114,105
"832","1","1005",13778,64
"833","0","1002",4060,294
"834","2","1005",52,3
"835","0","1012",48,2
"836","0","1001",19,1
"837","2","1012",2,0
"838","0","1010",1,0
"839","2","1008",6,0
"840","0","1005",1,1
"841","1","1005",16140,59
"842","0","1005",38378,117
"843","0","1002",3823,361
"844","0","1012",49,1
"845","2","1005",75,3
"846","2","1008",7,1
"847","2","1012",6,0
"848","0","1010",1,1
"849","0","1001",9,0
"850","0","1005",12907,64
"851","0","1002",6253,451
"852","1","1005",6268,37
"853","0","1012",68,2
"854","0","1001",17,1
"855","0","1010",6,0
"856","2","1005",21,0
"857","2","1008",3,0
"858","2","1012",2,0
"859","0","1005",21554,125
"860","1","1005",14322,59
"861","0","1002",5646,462
"862","0","1012",64,2
"863","2","1005",34,2
"864","2","1012",5,0
"865","0","1010",1,0
"866","2","1008",7,0
"867","0","1001",4,0
"868","0","1002",8747,546
"869","1","1005",18160,74
"870","0","1005",34725,140
"871","2","1008",10,1
"872","2","1012",5,0
"873","0","1001",13,0
"874","0","1012",85,2
"875","2","1005",37,2
"876","0","1010",2,1
"877","1","1005",31980,91
"878","0","1002",12767,603
"879","0","1005",50965,174
"880","0","1012",108,3
"881","2","1005",60,2
"882","0","1010",7,0
"883","2","1012",6,0
"884","2","1008",12,1
"885","0","1001",5,0
"886","0","1005",22672,85
"887","1","1005",9431,48
"888","0","1002",10962,574
"889","0","1012",76,1
"890","2","1005",33,1
"891","2","1008",15,1
"892","0","1001",1,0
"893","2","1012",1,0
"894","0","1005",63048,189
"895","1","1005",34849,80
"896","0","1002",11122,635
"897","0","1012",124,1
"898","2","1005",120,2
"899","2","1008",9,1
"900","2","1012",2,1
"901","0","1001",3,0
"902","1","1012",1,0
"903","0","1005",58042,213
"904","1","1005",42254,89
"905","0","1002",11631,715
"906","2","1008",20,1
"907","2","1005",85,3
"908","0","1012",83,2
"909","0","1001",8,0
"910","1","1012",1,0
"911","0","1005",61914,306
"912","1","1005",55047,88
"913","0","1002",10635,637
"914","0","1012",109,3
"915","2","1005",112,2
"916","2","1008",31,1
"917","0","1001",11,1
"918","0","1005",59112,327
"919","1","1005",53742,101
"920","0","1002",8033,493
"921","0","1012",119,1
"922","2","1005",97,2
"923","2","1008",26,1
"924","0","1001",17,0
"925","1","1005",46126,104
"926","0","1005",61272,319
"927","0","1002",10041,589
"928","0","1012",130,1
"929","2","1005",113,2
"930","0","1001",32,1
"931","2","1008",13,1
"932","2","1012",2,0
"933","0","1010",1,0
"934","1","1005",53963,98
"935","0","1002",12270,599
"936","0","1005",67245,319
"937","0","1012",146,5
"938","2","1005",109,2
"939","0","1001",37,1
"940","2","1008",17,1
"941","0","1010",1,0
"942","2","1012",1,0
"943","1","1005",63805,118
"944","0","1005",85456,340
"945","0","1002",12191,514
"946","0","1012",125,4
"947","2","1005",131,2
"948","2","1008",23,1
"949","0","1001",9,1
"950","0","1010",2,1
"951","2","1012",2,1
"952","0","1005",89549,349
"953","1","1005",64624,104
"954","0","1002",9623,497
"955","2","1005",155,3
"956","0","1012",161,4
"957","2","1008",19,1
"958","0","1010",1,0
"959","2","1012",1,0
"960","0","1001",1,0
"961","0","1005",94831,355
"962","1","1005",64525,97
"963","0","1002",7031,359
"964","0","1012",196,3
"965","2","1005",176,3
"966","0","1001",7,0
"967","2","1008",7,1
"968","1","1012",1,0
"969","1","1005",61120,87
"970","0","1005",85701,339
"971","0","1002",4802,328
"972","2","1005",134,3
"973","0","1012",238,3
"974","0","1001",6,0
"975","2","1012",2,0
"976","2","1008",7,1
"977","0","1002",6222,407
"978","0","1005",86958,332
"979","1","1005",59775,98
"980","0","1012",226,1
"981","2","1008",1,0
"982","2","1005",115,2
"983","0","1001",2,0
"984","2","1012",2,0
"985","0","1010",1,0
"986","0","1005",78157,318
"987","1","1005",54246,93
"988","0","1002",6602,437
"989","0","1012",146,3
"990","2","1005",116,2
"991","2","1008",8,0
"992","1","1012",64,1
"993","0","1001",5,0
"994","0","1010",1,0
"995","1","1005",35666,70
"996","0","1005",39914,249
"997","0","1002",5135,353
"998","0","1012",125,3
"999","1","1012",164,1
"1000","2","1005",38,3
"1001","0","1001",7,0
"1002","2","1012",5,1
"1003","0","1010",1,0
"1004","2","1008",4,1
"1005","1","1005",27743,60
"1006","0","1005",26538,215
"1007","0","1002",4374,297
"1008","2","1012",2,0
"1009","0","1012",146,4
"1010","1","1012",129,1
"1011","2","1005",11,2
"1012","2","1008",8,1
"1013","0","1001",4,0
"1014","1","1005",24782,55
"1015","0","1005",21031,176
"1016","1","1012",162,1
"1017","0","1002",3787,283
"1018","0","1012",107,1
"1019","2","1005",14,3
"1020","0","1001",8,1
"1021","2","1008",5,0
"1022","0","1005",20922,160
"1023","1","1005",22656,55
"1024","0","1002",3510,233
"1025","0","1012",129,2
"1026","1","1012",156,1
"1027","2","1005",7,1
"1028","0","1001",11,2
"1029","2","1008",4,1
"1030","2","1012",2,0
"1031","0","1005",21318,145
"1032","1","1005",18583,51
"1033","0","1002",2316,194
"1034","1","1012",175,2
"1035","0","1012",99,3
"1036","2","1005",29,2
"1037","2","1008",4,1
"1038","2","1012",1,0
"1039","0","1001",3,0
"1040","0","1005",23023,159
"1041","1","1005",13212,66
"1042","0","1002",3046,241
"1043","0","1012",150,2
"1044","1","1012",219,2
"1045","2","1005",18,2
"1046","0","1001",11,0
"1047","0","1010",1,0
"1048","2","1008",3,1
"1049","2","1012",1,0
"1050","0","1005",27260,180
"1051","1","1005",14522,66
"1052","0","1002",5445,392
"1053","1","1012",163,1
"1054","0","1012",239,2
"1055","2","1005",36,2
"1056","0","1001",13,0
"1057","2","1008",2,1
"1058","2","1012",6,0
"1059","0","1005",2,1
"1060","0","1010",1,0
"1061","0","1005",44378,204
"1062","1","1005",21642,75
"1063","0","1002",5804,423
"1064","0","1012",244,3
"1065","2","1005",55,2
"1066","2","1012",3,0
"1067","0","1001",5,0
"1068","2","1008",2,0
"1069","0","1010",1,0
"1070","1","1005",33047,89
"1071","0","1005",41588,246
"1072","0","1002",6462,458
"1073","0","1012",252,2
"1074","2","1005",64,2
"1075","2","1008",1,0
"1076","0","1001",6,0
"1077","1","1012",2,0
"1078","0","1010",1,0
"1079","2","1012",1,0
"1080","1","1005",42210,93
"1081","0","1005",62285,269
"1082","0","1002",9300,594
"1083","2","1008",14,1
"1084","2","1005",74,2
"1085","1","1012",254,1
"1086","0","1012",331,3
"1087","0","1001",18,2
"1088","0","1010",1,1
"1089","2","1012",1,0
"1090","0","1005",74050,305
"1091","1","1005",47652,101
"1092","0","1002",10498,657
"1093","2","1005",95,3
"1094","1","1012",302,1
"1095","0","1012",321,3
"1096","0","1001",9,0
"1097","2","1008",12,1
"1098","0","1005",74555,319
"1099","0","1002",10261,650
"1100","1","1005",52109,91
"1101","1","1012",259,1
"1102","0","1012",314,1
"1103","0","1001",5,0
"1104","2","1005",96,3
"1105","2","1008",21,1
"1106","2","1012",1,0
"1107","0","1005",77897,346
"1108","1","1005",60541,101
"1109","0","1002",10844,678
"1110","0","1012",261,4
"1111","2","1005",129,2
"1112","2","1008",22,1
"1113","0","1001",11,1
"1114","2","1012",4,0
"1115","0","1002",12378,748
"1116","1","1005",56130,93
"1117","0","1005",69904,317
"1118","0","1012",250,4
"1119","2","1005",133,2
"1120","2","1008",26,1
